Theta: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Theta: 0;;;;;;;;;;
RFC;69;70.308;72.385;70.846;72.769;71.462;69.846;71.538;71.615;69.538;71.538;68.692;70.385;70.769;73.462;71.231;72.308;70.846;68.385;72.231;70.692;70.385;72.769;72.538;72.077;69.692;72.385;69.769;72.077;70.385;72.769;70.077;73.308;68.692;71.077;70.308;73;72;70.615;73.308;74.231;70.615;72.308;70.385;70.769;69.231;71.308;69.154;69;70.538;70.538;73.538;70.846;69.692;70.615;68.538;72.385;67.692;70;71.231;67.769;74.462;70.692;72.231;71;69.692;70.538;70.769;70.615;71.077;69.615;70.923;72.769;68.769;72.923;72.615;70.538;71.231;71.308;71.308;72.154;70.231;73.538;72.154;72.231;73;72.769;71.615;69.923;70.077;72.846;72.231;70.385;68.308;73.077;70.769;71.692;72;71.846;70.846;;71.12227;1.445599715;;71.12227;1.445599715;97.76925;0.394069445;96.81545;0.59106831;96.13538;0.529631585
KNN;97.923;97.846;96.923;97.692;96.769;97.308;96.923;98.231;98.154;98.231;98.308;98;97.538;97.769;97.846;98.462;98;98.154;97.692;97.692;98.154;97.615;97.615;97.846;98.308;97.923;97.462;97.077;98.846;97.846;98.385;97.769;97.846;97.385;98;97.462;97.615;97.231;98.462;97.385;98.385;97.769;97.769;98.385;98.077;96.923;97.692;97.385;97.846;98;97.846;98.077;97.692;97.923;97.923;97;98;97.308;97.538;97.692;97.385;97.846;98.308;98.154;98;97.615;97.231;97.308;97.154;97.462;97.462;97.923;98.231;97.692;97.769;98.385;98.154;98.231;98;97.615;97.923;98.231;97.615;98.154;97.692;97.769;97.462;97.462;97.385;97.923;97.923;97.615;97.846;97.308;97.308;97.538;98;97.308;98;97.615;;97.76925;0.394069445;;;;;;;;;
GNB;97;96.846;97.308;97;95.615;96.308;96.462;96.769;97.077;98;97.692;96.385;96.692;97.385;96.154;97.692;97.308;97.154;95.923;96.923;96.615;96.154;96.231;96.462;97.462;96.154;95.692;96.538;98.231;97.538;97.769;96.385;96.615;96.231;97.385;96.231;96.846;96.385;96.846;97.231;97.615;97.231;97.308;96.769;96.923;96.308;97.385;95.462;96.769;96.154;96.923;97.154;97.462;97;96.231;96.077;97.154;96.692;97.538;96.308;96.615;97.462;97.462;96.692;96.923;97.154;96.692;96.385;96.231;96.077;96.385;97.385;97.231;96.615;97.077;96.462;96.385;96.923;96.923;96.538;97;97.385;97.615;97.462;97;96.615;96.846;96.308;96.538;97.462;97.385;97.154;95.385;94.769;96.538;96.923;97.462;97.231;97.231;96.462;;96.81545;0.59106831;;;;;;;;;
SVM;96.538;95.538;96.154;95.846;95.615;95;95.462;96.462;95.615;96.923;96.692;95.923;95.538;96.692;95.923;97.385;96.154;96.077;95.692;96.846;96.308;96.308;95.923;96.154;96.385;95.538;96.231;94.231;96.846;95.769;96.462;94.769;97.154;95.846;96.077;96.077;95.923;96.154;96.231;96.231;97.077;96.385;95.385;96.615;96.692;95.462;96;96.154;95.615;96.231;96.385;97.308;96.538;96.846;96;95.231;96.308;95.231;95.538;95.692;96;96.692;96.692;96.692;96.154;96.462;96.385;96.692;95.923;95.615;95.231;96;96.385;96.462;96.077;96.615;96.385;95.538;96.538;96;95.923;96.462;96.154;97;96.154;95.769;96;96.231;96.308;96.615;96.308;96;95.769;95.846;95.846;95.923;96.769;95.923;96.615;96;;96.13538;0.529631585;;;;;;;;;
Theta: 0.0122718463031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Theta: 0.0122718463031;;;;;;;;;;
RFC;71.154;69.538;69.769;70;69.923;68.462;70.615;70.385;72.308;70.846;74;69.692;69.462;70.538;72.462;68;71;69.846;67.769;71.923;73.846;69.385;70.692;71.308;70.846;67.231;68.615;69.231;69.385;70.231;72.538;68;70.462;68.769;71.462;69.846;70.385;69.923;68.462;72;71;70.077;71.538;71.231;68.077;68.154;72.462;67.538;67.692;69;72.846;71.385;70.692;69.231;69.846;69;74.308;69.692;69.923;71.077;67;71.308;71.385;70.692;71;70.077;70.846;71.231;69.846;69.923;67.769;69.615;71.769;69;69;72.385;69.615;69.077;70.385;71.077;68.769;70.385;72.154;72.385;71.538;69.692;72.154;69.077;71.231;70.231;74.385;71.308;69.769;68.923;70.538;70.077;68.923;70.615;70.769;69.308;;70.30309;1.519505552;;70.30309;1.519505552;97.66302;0.42814967;96.71307;0.625771959;95.91541;0.563848457
KNN;97.769;97.462;97.077;97.846;96.538;96.846;97;98.077;98;98.462;98.231;97.692;97.615;97.846;97.615;98.308;97.538;98.077;97.385;97.462;97.692;97.538;97.615;97.692;98.538;97.846;97.692;96.846;98.846;97.615;98.385;97.615;98.077;97.769;97.923;97.385;97.615;97.154;98.462;97.308;98;97.769;97.538;98.308;98.077;97;97.538;97.077;97.769;97.923;98;98.154;97.846;97.923;97.923;96.692;97.538;96.769;97.538;97.231;97.231;97.846;98.077;97.692;97.538;97.615;97.462;97.385;96.846;97.077;97.231;97.846;98.308;97.769;97.692;98.154;98.308;98.154;97.846;97.769;97.923;97.692;97.538;98;97.769;97.462;97.308;97.231;97.308;97.462;97.692;97.769;97.308;97.077;97.231;97.692;97.769;97.538;98;97.615;;97.66302;0.42814967;;;;;;;;;
GNB;96.538;97.231;97.231;97.231;94.692;96.077;96.308;97.308;96.385;97.846;97.231;96.308;96.769;96.923;96.231;97.923;97.154;96.308;96.538;96.769;96.615;96.615;96.077;96.154;97.846;96.077;96.154;96.077;98.308;97.385;97.846;96;96.846;96.154;97.385;96.538;96.462;96.538;97;96.615;97.846;96.846;97.385;96.769;97.615;96.077;96.692;95.231;96.615;95.923;96.538;97.385;97.154;97.385;96.308;95.846;96.923;96.692;97.308;96.231;96.692;97.077;97.308;96.615;96.308;97.231;96.231;96.538;96.154;96.231;96.615;96.846;97.462;96.308;96.385;96.692;96.462;97.615;97;96.692;96.154;96.769;97;97.692;96.846;96.538;95.923;96;96.231;96.923;97.231;97.538;95.538;95.077;96.692;96.769;97.154;97.154;96.846;96.308;;96.71307;0.625771959;;;;;;;;;
SVM;96.231;95.077;95.923;95.923;95.308;95.231;95.308;96.615;95.615;96.154;96.231;96;95.385;96.231;96.154;96.846;96.154;94.923;95;96.769;96.308;96;95.846;96.154;96.231;95.769;96;94.385;97.154;95.231;96.615;95.231;96.923;95.692;96.077;95.769;95.615;95.692;96.385;96.385;96.615;96;94.846;96.462;96.692;95.308;95.923;95.769;95.154;95.923;95.615;96.692;96.538;96.385;95.615;95;95.846;95.231;94.846;95.231;95.769;96.769;96.692;96.308;95.692;96.385;96.154;96.462;94.846;95.385;94.923;96.385;96.154;96.692;95.385;96.231;96.462;95.692;96.385;95.923;95.385;95.385;95.615;97;96;95.692;95.615;96.308;96.462;96;96.077;96.077;95.308;95.538;95.846;95.923;96.462;95.846;96.385;95.692;;95.91541;0.563848457;;;;;;;;;
Theta: 0.0245436926062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Theta: 0.0245436926062;;;;;;;;;;
