Theta: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Theta: 0;;;;;;;;;;
RFC;82;83;81.5;80;76.5;78.5;77;79.5;79;77;76.5;82;80.5;82;80.5;79.5;75.5;83.5;82.5;80.5;82;75.5;79;75;80;82;79;81;82.5;75.5;77.5;84;84;83.5;83;81;76;83;81.5;83.5;84.5;74;79;80.5;76;78.5;82.5;84.5;80;81;82;80;85.5;70.5;80.5;71;78;81.5;83;78.5;79;81.5;82;77.5;81;82;79.5;85;76.5;76;80.5;79;82.5;82;82.5;81;78;81;84;80.5;79;82.5;81.5;79.5;77.5;79;77.5;77;78;80;76.5;78.5;74;75;75;81.5;78.5;79;78.5;81.5;;79.77;2.952473539;;79.77;2.952473539;97.36;1.247156766;91.72;2.43137821;94.925;1.588041246
KNN;98;100;97.5;93.5;96;97;96;98.5;100;98.5;97;97.5;98;97;98.5;97.5;96.5;97;99;99;95.5;99;97;98.5;97;97;97;97;96;94.5;97.5;97.5;98;96.5;97;98;96.5;98;95;96;99;95.5;98;95.5;99.5;98;98;96.5;97.5;98;99;95.5;99;96.5;97.5;97.5;99;98.5;97;97.5;94.5;98;98.5;98;97.5;97;98.5;98.5;97.5;97;98.5;97.5;98;97.5;96.5;97.5;97.5;96.5;97.5;95.5;97;99.5;96.5;96;96.5;98.5;96;97;96.5;98.5;97.5;96.5;98.5;98.5;97.5;99;94;96.5;97;98.5;;97.36;1.247156766;;;;;;;;;
GNB;89.5;93.5;93.5;89;93;87.5;92;93;96.5;92.5;94;93.5;90;91;94;89.5;83.5;90.5;94;93;89.5;92;94;91;92;92.5;93.5;93.5;90.5;91;90.5;94.5;94;91.5;94;90.5;91.5;93;88.5;94;96;90.5;93;90;87.5;94;91;89;87.5;95.5;91;87.5;92;93;89;86;89;93;94.5;93;88;92.5;97;92;89.5;91.5;95;93.5;87.5;90;93;92;93;91.5;91;91.5;92;92.5;93;91.5;87.5;89;91;92;91.5;96;90;91.5;92.5;93.5;90.5;91;92;94;91.5;96;89;89;94.5;96;;91.72;2.43137821;;;;;;;;;
SVM;94;96;94.5;93;93;96.5;96;94.5;95.5;95;94.5;95;96;95;96;94;93;94;96.5;95.5;92.5;96.5;96.5;97.5;95.5;94.5;96.5;96;95.5;93;94.5;96;94;93.5;95.5;96.5;95;98;95;96;97.5;93;94.5;93.5;97;93.5;93;94.5;95.5;96;94.5;96.5;95;94.5;94.5;95;95;95;94;96.5;91.5;97.5;96.5;94.5;94;95;96.5;96.5;92;94;94;95;97;92;95;95.5;96;96.5;95.5;95.5;96;93;95;92;95;98;92;95;95.5;94;95;93;92.5;95.5;93.5;98;88.5;96;94.5;96.5;;94.925;1.588041246;;;;;;;;;
Theta: 0.0122718463031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Theta: 0.0122718463031;;;;;;;;;;
RFC;81.5;79;79.5;81.5;74;81;74.5;82.5;84.5;78.5;80;84;80;81;84.5;75;77;82;86.5;79;74.5;82.5;72.5;80.5;79.5;78.5;84;83;81;72;78;82.5;79.5;82;80.5;80.5;82.5;79;80;74;74;79;80;75.5;78;79;78;76;83;84.5;79;80.5;81.5;82;77.5;76.5;80.5;79.5;83.5;81;81.5;82.5;81;86;78;81.5;79;81;77;77;81.5;80;81.5;77.5;80.5;83;77;81.5;80.5;85;74.5;85;80.5;81;77.5;79.5;81.5;78.5;77.5;82;79;84;79;78;80;82.5;74.5;81.5;79.5;85.5;;79.94;3.020165558;;79.94;3.020165558;97.39;1.165289664;91.79;2.140303717;95.065;1.663813391
KNN;98;99;97;95;95;96;96.5;98.5;99.5;98.5;98;97;98.5;96;98.5;98.5;96;97.5;99;99.5;95;99;96.5;98.5;97;97;97;97;96.5;95;97.5;97.5;99;98;97;97.5;97;97.5;95;96.5;98.5;96;97;95;99.5;98;97;96.5;97;98.5;99;95.5;99;96.5;97.5;98;99;98.5;97;97.5;95;97.5;98.5;98;97.5;96.5;98.5;98;97;96.5;98.5;97.5;98.5;98;97;98.5;97.5;96.5;98;96;97.5;98.5;97;97;97;98.5;96.5;96.5;97.5;98;97.5;97.5;97.5;98;97;99;94;97;97;98.5;;97.39;1.165289664;;;;;;;;;
GNB;88.5;94;92.5;90.5;91.5;92;92.5;93.5;95;92.5;91.5;93.5;90.5;91.5;91;90;86.5;93;94;92.5;91.5;91.5;92;92;92.5;90.5;91.5;94.5;91.5;91;89;96.5;93.5;89.5;93;92.5;92;96;90;96;97;91.5;94;88.5;89;92.5;90;88.5;89;95;90.5;90;92;89;89;88.5;92.5;91;91;96;89.5;94;91;92.5;88;92;94;95.5;90.5;90;90;93.5;91.5;92.5;91;90.5;90.5;95;93.5;89.5;90.5;91;93;93.5;89.5;95;89;93;94.5;89.5;91.5;90;92;94.5;89;91;90.5;91;95;94;;91.79;2.140303717;;;;;;;;;
SVM;93;96.5;94;95;94;97;96;95;96.5;95;93;95.5;95;95.5;97;93.5;92;93.5;97;96.5;94.5;95.5;97.5;97.5;95.5;95;95.5;96.5;95.5;93;95;97;93.5;94.5;97.5;97.5;95;96.5;95;97;99;92.5;95.5;93.5;97.5;95;93.5;92.5;94.5;96.5;95;96.5;94;93.5;95;95.5;96;94.5;95;96;91;98;95;94;94.5;94.5;96;96.5;92;95;94.5;96;96.5;91;95.5;96;96;96;94.5;95;95;94.5;95;91.5;93.5;97;93;95.5;96.5;93.5;95.5;92.5;94.5;94.5;93;98;90.5;96.5;95.5;97.5;;95.065;1.663813391;;;;;;;;;
Theta: 0.0245436926062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Theta: 0.0245436926062;;;;;;;;;;
