Theta: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Theta: 0;;;;;;;;;;
RFC;82.361;85.972;83.889;85.417;84.722;82.917;83.056;85.139;86.944;85.417;85.556;83.75;83.472;83.75;85.278;84.861;83.472;83.472;84.028;85;87.083;81.806;82.222;85.694;84.722;85.417;84.861;85.417;88.056;83.611;83.472;83.75;85.556;86.389;84.028;86.944;84.861;83.75;84.444;84.583;85.556;84.028;85.833;83.75;82.222;87.639;82.639;83.472;83.056;85.694;82.917;82.222;81.25;85.972;85.694;86.111;88.889;85.139;85.833;85;84.306;86.667;84.028;82.361;84.583;85.139;85.139;82.361;85.972;84.583;85.556;84.444;83.611;85.556;81.806;86.528;87.778;85.278;84.306;85.417;83.611;84.167;84.444;84.167;84.583;85;84.444;82.5;85.556;83.889;84.167;84.028;84.444;85.417;86.25;84.028;86.111;86.389;82.917;83.889;;84.63475;1.451056742;;84.63475;1.451056742;94.40003;0.84938284;85.97636;1.482008958;86.07084;1.285397905
KNN;95.417;94.722;93.889;95.556;94.306;93.611;93.889;94.167;95.556;95.278;94.167;94.028;93.333;93.472;95.278;94.722;94.306;93.333;93.611;94.444;94.722;92.778;93.889;93.333;95.417;94.028;95;94.583;94.722;93.333;94.028;94.306;94.306;96.528;94.167;96.667;95.139;92.917;93.472;94.444;94.306;93.472;94.722;93.472;95.694;94.444;94.306;92.778;93.611;95.972;93.75;94.306;92.222;93.611;94.167;95.417;96.25;94.444;94.444;94.722;94.028;95.417;94.028;93.889;94.583;92.639;93.889;94.444;95;94.583;94.167;93.056;95.139;94.583;93.472;95.139;95;95.139;95;94.306;93.75;95.139;95.278;94.444;93.75;95.833;94.028;94.306;95.694;93.611;94.444;95.278;95.417;94.306;95.139;93.472;93.75;95.139;94.167;94.583;;94.40003;0.84938284;;;;;;;;;
GNB;85.833;86.111;85.556;86.944;88.056;83.194;86.667;84.861;86.389;86.667;86.528;87.083;85.694;84.722;87.917;86.944;86.25;85.556;86.944;86.667;87.639;83.194;82.5;84.028;87.639;88.472;85.972;83.194;85.833;82.778;85.972;86.528;86.667;85.139;85.139;87.778;83.611;84.583;83.194;87.5;84.167;83.611;88.75;86.528;86.667;87.639;83.611;86.528;86.25;85.694;84.583;86.25;83.333;84.028;85.972;85.833;86.944;87.5;87.778;88.056;85;88.889;85.278;84.861;85.972;85.833;84.861;85;86.944;84.722;87.083;87.639;86.25;86.667;85.278;88.611;86.667;88.194;84.861;85.278;83.889;87.917;84.444;87.917;86.806;87.778;85.972;84.583;85.417;86.25;85;86.25;84.583;87.222;86.528;86.944;85.139;84.861;86.389;88.194;;85.97636;1.482008958;;;;;;;;;
SVM;87.5;86.111;85.694;87.639;88.194;84.167;85;86.389;87.917;89.583;87.083;85.139;86.111;84.583;87.083;85.556;85.972;84.722;84.167;86.389;85.833;84.306;85.694;86.25;88.056;87.222;86.389;83.611;86.944;84.028;87.083;87.222;86.25;88.056;86.25;86.528;85.972;83.611;85;85.972;84.444;85.278;87.5;84.583;87.5;86.806;84.722;84.583;85.556;86.806;85.694;86.25;81.944;86.667;86.806;86.25;86.25;85.556;85.417;87.222;83.889;86.389;85.694;84.444;83.889;85.972;85.556;86.667;86.528;86.528;86.806;85.139;86.389;88.056;84.444;87.083;88.056;87.778;85.972;86.25;86.528;85.972;86.806;87.083;84.861;88.75;85.833;85.417;88.056;85.972;85.556;86.806;85.417;87.222;86.25;83.75;84.583;85.833;86.806;86.944;;86.07084;1.285397905;;;;;;;;;
Theta: 0.0122718463031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Theta: 0.0122718463031;;;;;;;;;;
RFC;86.806;85.556;83.611;84.722;84.306;80.833;82.917;84.444;83.056;86.25;83.611;85.139;83.472;80.833;85.972;82.083;83.889;83.611;84.444;85.556;84.583;84.028;83.333;84.861;85;84.861;85.833;83.889;86.111;83.889;83.75;86.944;84.306;85.694;85.417;86.111;85.694;83.75;83.194;85;84.028;84.306;87.083;84.306;83.194;88.056;81.528;83.472;84.583;82.083;81.806;84.722;79.722;85.694;83.889;83.194;88.333;85;83.611;83.611;81.944;85.556;85.417;85.694;82.778;80.556;84.028;84.167;85.694;84.028;87.361;86.111;86.389;84.028;82.222;83.333;86.389;86.389;81.806;83.889;83.889;85;85.417;85.139;84.583;88.889;84.722;82.361;84.722;85.278;85.139;85.139;83.056;86.389;85.972;84.583;85.972;84.028;82.778;86.389;;84.46804;1.656572805;;84.46804;1.656572805;94.42638;0.849543628;85.94446;1.490723378;86.0917;1.31923197
KNN;95.556;94.583;94.167;95.417;94.028;93.611;93.889;94.167;95.556;95.139;94.167;93.889;93.333;93.611;95.694;94.861;94.722;93.333;93.611;94.167;94.722;92.778;93.889;93.472;95.694;94.028;94.722;94.583;94.861;93.472;94.028;94.444;94.306;96.389;94.444;96.389;95.139;92.917;93.194;94.306;94.444;93.472;95;93.472;95.556;94.583;94.306;92.778;93.333;95.972;93.889;94.444;92.361;93.472;94.028;95.278;96.25;94.444;94.583;94.861;94.028;95.278;94.028;93.889;95.139;92.778;94.167;94.167;95;94.722;94.167;93.333;95.278;94.722;93.472;95.278;95;95.278;94.722;94.306;94.028;95.139;95.139;94.444;93.472;95.972;94.028;94.306;95.694;93.611;94.444;95.278;95.694;94.444;95.417;93.472;93.75;95;94.167;94.583;;94.42638;0.849543628;;;;;;;;;
GNB;86.389;86.806;86.25;87.5;88.056;83.194;86.667;84.306;86.667;86.806;86.667;87.5;85.139;85;87.361;87.639;87.361;85.556;86.25;86.806;87.361;83.056;82.361;84.028;87.222;87.639;86.111;83.611;87.222;83.472;85.694;86.528;86.111;85;85.694;88.611;83.611;84.722;82.778;86.389;84.583;83.472;88.194;86.389;86.389;88.194;83.611;86.389;86.389;85.972;83.75;86.389;82.639;84.444;85.972;85.972;86.806;87.222;88.056;88.194;84.722;87.639;85.556;84.167;85.417;86.389;84.167;85.972;86.944;85;87.639;86.389;85.417;86.667;85.139;87.222;86.667;88.333;84.722;85;84.444;88.056;84.167;88.194;86.944;87.778;86.389;84.722;86.111;85.972;85.694;86.389;83.333;86.667;86.389;86.667;85;84.167;86.111;87.917;;85.94446;1.490723378;;;;;;;;;
SVM;87.639;86.25;85.278;87.778;87.917;84.167;85.139;85.972;87.778;90.139;86.806;84.306;85.556;84.444;88.056;86.111;85.694;84.722;84.444;86.528;85.556;84.167;85.556;85.694;88.889;87.5;86.806;84.028;87.222;83.889;86.528;87.361;86.25;87.5;86.111;86.944;86.111;83.472;85.278;85.833;84.583;85;88.194;84.444;87.083;87.222;84.583;84.444;85.278;86.806;85.139;85.694;82.5;86.806;86.806;85.417;86.111;85.278;86.111;86.944;83.75;86.667;85.556;84.028;84.028;85.417;86.389;86.667;86.667;86.944;87.222;85.139;86.806;88.194;85.417;87.361;87.639;87.5;85.972;85.972;86.667;86.667;86.806;86.944;84.722;88.889;86.111;85.833;87.361;85.972;85.278;86.528;85.417;86.944;86.528;84.306;84.861;86.111;86.667;87.361;;86.0917;1.31923197;;;;;;;;;
Theta: 0.0245436926062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Theta: 0.0245436926062;;;;;;;;;;
RFC;86.111;84.306;87.5;87.917;86.389;82.5;86.528;81.667;87.639;85.139;85.278;85;86.667;80.972;84.722;83.472;86.528;83.194;83.889;84.167;83.333;81.667;84.583;83.889;86.25;87.083;84.306;82.222;86.389;83.333;84.167;82.222;82.778;87.639;83.056;86.528;83.472;83.75;84.028;85.556;83.611;83.194;84.722;84.306;86.25;86.667;84.028;85.833;85.972;85.139;85.417;84.583;83.333;83.472;85.417;83.889;85.278;82.778;86.667;85.694;83.472;84.444;84.167;85.694;82.917;85.139;85.278;84.583;86.389;84.583;86.806;82.917;86.528;86.528;83.75;85;85.694;85.139;83.333;84.861;82.639;86.111;84.306;86.806;82.639;85.694;84.583;83.333;85;83.194;83.333;85.694;79.722;86.389;87.083;84.444;85.139;82.778;83.75;85.278;;84.67223;1.586362675;;84.67223;1.586362675;94.41668;0.847559436;85.93891;1.484414175;86.09723;1.326311131
