theta;RFC;;KNN;;GNB;;SVC;
0;84.63475;1.451056742;94.40003;0.84938284;85.97636;1.482008958;86.07084;1.285397905
0.012271846;84.46804;1.656572805;94.42638;0.849543628;85.94446;1.490723378;86.0917;1.31923197
0.024543693;84.67223;1.586362675;94.41668;0.847559436;85.93891;1.484414175;86.09723;1.326311131
0.036815539;84.46526;1.445145596;94.42225;0.867074384;85.96525;1.464780116;86.16251;1.30194011
0.049087385;84.48614;1.34638857;94.425;0.842078239;85.95133;1.517047271;86.18611;1.329186818
0.061359232;84.46808;1.562610218;94.42222;0.841140459;85.87777;1.512368301;86.2083;1.342540692
0.073631078;84.24583;1.684694691;94.43751;0.826456901;85.84445;1.495981125;86.24585;1.308120112
0.085902924;84.6625;1.445114912;94.4014;0.854759931;85.89722;1.446363271;86.25557;1.312911629
0.09817477;84.56938;1.447302669;94.36665;0.842388003;85.86805;1.450504308;86.2806;1.275315435
0.110446617;84.43193;1.361258478;94.36666;0.83643587;85.84865;1.437423983;86.26532;1.34085055
0.122718463;84.51388;1.571278303;94.37362;0.857900843;85.89308;1.470025045;86.22781;1.326970223
0.134990309;84.39021;1.521470843;94.36666;0.856763739;85.94721;1.486949537;86.28745;1.319332061
0.147262156;84.44308;1.701894754;94.38885;0.866699295;85.92362;1.489883464;86.27777;1.310140961
0.159534002;84.48333;1.531725922;94.38057;0.848376122;85.96532;1.437830038;86.2778;1.340125666
0.171805848;84.1792;1.555550925;94.38889;0.859535408;85.96529;1.453573027;86.37365;1.340079791
0.184077695;84.48196;1.468662908;94.3667;0.853765629;85.97085;1.488142865;86.40833;1.334619826
0.196349541;84.38611;1.509294954;94.36945;0.864336779;86.01394;1.480291247;86.43612;1.295495112
0.208621387;84.1778;1.534767005;94.34862;0.859730351;86.04863;1.474745393;86.4722;1.303270724
0.220893233;84.46804;1.603843034;94.35697;0.865288524;86.03612;1.453025748;86.49585;1.308017472
0.23316508;84.52783;1.512291216;94.33892;0.851255528;85.98749;1.444667723;86.55139;1.27324787
0.245436926;84.31943;1.480123098;94.33751;0.856168062;86.04859;1.425255823;86.57084;1.270479175
0.257708772;84.26808;1.60904129;94.32638;0.870801961;86.0611;1.483920783;86.60553;1.225282551
0.269980619;84.32778;1.278474799;94.32497;0.860463206;85.97919;1.410962364;86.58195;1.192497517
0.282252465;84.5458;1.66347425;94.31803;0.872013262;85.90834;1.371863428;86.60001;1.247289104
0.294524311;84.31941;1.460944476;94.32773;0.857652037;85.94585;1.39912107;86.61665;1.22669898
0.306796158;84.61945;1.645842686;94.31392;0.837656489;85.99726;1.384228974;86.61111;1.210684541
0.319068004;84.35003;1.370108882;94.31809;0.826367038;86.02916;1.346617672;86.66801;1.272288383
