theta;RFC;;KNN;;GNB;;SVC;
0;53.3725;2.708896224;82.3625;1.763297692;71.9025;2.548257983;65.76;2.255803626
0.012271846;53.1725;2.840927445;82.3175;1.729470656;72.0425;2.4212742;65.67;2.325639697
0.024543693;53.32;2.887923129;82.2875;1.705276737;71.99;2.340918623;65.63;2.282126202
0.036815539;53.2375;2.769335435;82.215;1.732418829;71.9275;2.240896863;65.6425;2.388319231
0.049087385;53.74;2.76245362;82.205;1.750849794;71.8525;2.421026384;65.725;2.429120211
0.061359232;53.39;2.7026191;82.1825;1.748876425;71.71;2.471011938;65.6725;2.383981701
0.073631078;53.275;2.65035375;82.135;1.702358658;71.6075;2.518495335;65.69;2.387760457
0.085902924;53.4325;2.522859241;82.045;1.658078707;71.5675;2.46192379;65.7225;2.212999944
0.09817477;53.8;3.081801421;81.985;1.727288337;71.665;2.44520449;65.74;2.143280196
0.110446617;53.4525;3.125238991;81.9225;1.736625679;71.7175;2.483861661;65.63;2.18960042
0.122718463;53.7375;2.601532001;81.91;1.779578602;71.6125;2.445244108;65.63;2.307184431
0.134990309;53.17;2.521626459;81.865;1.817422626;71.515;2.559008597;65.5125;2.22074734
0.147262156;53.9275;2.985024079;81.89;1.833139384;71.565;2.630261394;65.525;2.279117154
0.159534002;54.015;2.83963466;81.85;1.844247814;71.605;2.686582401;65.4425;2.284145081
0.171805848;53.765;2.484154786;81.78;1.763618439;71.495;2.619632608;65.495;2.343069568
0.184077695;53.525;2.764846289;81.7325;1.728530807;71.4425;2.591296731;65.3625;2.319853174
0.196349541;53.41;2.981719303;81.745;1.666575831;71.5775;2.617177631;65.2275;2.324084497
0.208621387;53.0825;2.826007564;81.7025;1.64723063;71.5775;2.458326412;65.0375;2.275789698
0.220893233;53.655;2.814200597;81.61;1.658432995;71.605;2.400307272;65.0275;2.308921556
0.23316508;53.6075;2.675643614;81.5425;1.72338874;71.44;2.375163152;64.965;2.339075672
0.245436926;53.695;2.784236879;81.535;1.7406967;71.4325;2.370352031;64.8975;2.31032871
0.257708772;53.255;2.843409045;81.5025;1.80294724;71.3825;2.47675569;64.8025;2.252302988
0.269980619;53.495;2.830410748;81.4775;1.800727284;71.2925;2.487984877;64.6275;2.248192329
0.282252465;53.645;3.043267159;81.465;1.790607439;71.32;2.629657772;64.54;2.199352177
0.294524311;53.1475;2.75819121;81.37;1.860940622;71.19;2.652385719;64.4675;2.212367228
0.306796158;53.2775;2.756105722;81.3675;1.816402695;71.145;2.547346659;64.27;2.244348458
0.319068004;52.895;2.731570061;81.3675;1.809507875;71.195;2.478300829;64.2;2.093143569
0.33133985;53.1125;3.060101101;81.345;1.789126882;71.05;2.369599122;64.1175;2.19586401
0.343611696;52.945;2.767801474;81.245;1.78009129;71.03;2.310378757;63.99;2.147649878
0.355883543;52.905;2.911567447;81.1875;1.748347434;71.02;2.235978533;63.74;2.147067768
0.368155389;53.1625;2.765496113;81.0975;1.829923154;71.0375;2.305801108;63.6675;2.248625969
0.380427235;52.7275;2.927049496;81.0225;1.773800651;71.02;2.202748283;63.6125;2.136403227
0.392699082;52.9525;2.514630937;81.0275;1.788817696;70.9675;2.368716688;63.65;2.112167134
0.404970928;53.02;3.088826638;80.995;1.808998342;70.8425;2.386329556;63.4825;2.147747366
0.417242774;53.02;2.702239812;80.9275;1.816691705;70.7225;2.252191988;63.37;2.183025424
0.429514621;52.25;2.820682542;80.8875;1.831111343;70.7725;2.226571075;63.3575;2.349801853
0.441786467;52.91;2.623814018;80.8225;1.826983511;70.685;2.280794818;63.35;2.258594696
0.454058313;52.99;2.889403053;80.8575;1.82867951;70.725;2.27856863;63.34;2.343480318
0.46633016;52.575;2.517066745;80.855;1.829678934;70.545;2.31904614;63.37;2.312325669
0.478602006;52.5625;2.537807863;80.8525;1.839869221;70.395;2.30466375;63.3125;2.256206717
0.490873852;53.1175;2.488085358;80.84;1.865984995;70.4;2.387205479;63.13;2.277465697
0.503145698;52.9925;2.617836655;80.8125;1.86627135;70.4625;2.517284003;63.07;2.274609857
0.515417545;52.5125;2.772267799;80.845;1.837382649;70.535;2.356379638;63.1475;2.2757128
0.527689391;52.56;2.456145354;80.82;1.84122242;70.4525;2.322900934;63.16;2.202419125
