theta;RFC;KNN;GNB;SVM
0;79.77;97.36;91.72;94.925
0.012271846;79.94;97.39;91.79;95.065
0.024543693;79.995;97.38;91.45;94.87
0.036815539;79.69;97.42;91.69;94.91
0.049087385;79.97;97.375;91.855;94.9
0.061359232;80.14;97.41;91.78;94.915
0.073631078;79.83;97.395;91.635;94.805
0.085902924;79.965;97.405;91.8;94.885
0.09817477;79.035;97.345;91.8;94.87
0.110446617;79.765;97.415;91.725;94.905
0.122718463;79.335;97.405;91.57;95.03
0.134990309;79.7;97.345;91.795;94.96
0.147262156;79.79;97.405;91.56;94.785
0.159534002;80.025;97.38;91.685;94.905
0.171805848;79.535;97.265;91.81;94.905
0.184077695;79.785;97.365;91.945;94.88
0.196349541;79.41;97.325;91.435;94.95
0.208621387;79.69;97.33;91.715;94.815
0.220893233;79.36;97.355;91.705;94.835
0.23316508;80.14;97.28;91.535;94.815
0.245436926;79.735;97.385;91.5;94.91
0.257708772;79.885;97.32;91.66;94.815
0.269980619;80.125;97.3;91.715;94.77
0.282252465;80.055;97.28;91.575;94.88
0.294524311;80.125;97.3;91.695;94.925
0.306796158;79.34;97.32;91.795;94.745
0.319068004;79.57;97.29;91.7;94.94
0.33133985;79.625;97.345;91.88;94.86
0.343611696;79.24;97.28;91.76;94.81
0.355883543;79.435;97.29;91.695;94.765
0.368155389;79.38;97.315;91.645;94.755
0.380427235;79.99;97.265;91.84;94.745
0.392699082;79.19;97.255;91.615;94.795
0.404970928;79.985;97.345;91.855;94.795
0.417242774;79.68;97.31;91.61;94.73
0.429514621;79.92;97.25;91.78;94.765
0.441786467;79.88;97.215;91.675;94.825
0.454058313;79.78;97.235;91.72;94.76
0.46633016;79.945;97.19;91.665;94.745
0.478602006;79.73;97.19;91.79;94.765
0.490873852;79.615;97.175;91.645;94.92
0.503145698;79.42;97.12;91.7;94.79
0.515417545;79.805;97.205;91.63;94.69
0.527689391;79.73;97.205;91.515;94.715
0.539961237;79.14;97.16;91.74;94.78
0.552233084;79.49;97.18;91.655;94.66
0.56450493;79.635;97.23;91.81;94.75
0.576776776;79.735;97.17;91.85;94.685
0.589048623;79.345;97.075;91.615;94.765
0.601320469;79.575;97.14;91.445;94.755
0.613592315;79.295;97.125;91.8;94.795
0.625864161;79.94;97.155;91.775;94.645
0.638136008;79.355;97.105;91.54;94.68
0.650407854;79.735;97.065;91.32;94.71
0.6626797;79.48;97.14;91.535;94.66
0.674951547;79.66;97.115;91.54;94.685
0.687223393;79.355;97.145;91.335;94.645
0.699495239;79.39;97.095;91.42;94.7
0.711767086;79.51;97.08;91.54;94.585
0.724038932;79.925;97.02;91.485;94.615
0.736310778;79.335;97.065;91.585;94.73
0.748582624;79.295;97.11;91.765;94.74
0.760854471;79.785;97.05;91.42;94.605
0.773126317;79.425;97.05;91.4;94.64
0.785398163;79.705;97.025;91.435;94.62
0.79767001;79.74;97.045;91.38;94.65
0.809941856;78.94;97.005;91.355;94.705
0.822213702;79.67;96.955;91.41;94.63
0.834485549;78.84;96.965;91.495;94.765
0.846757395;79.2;96.99;91.45;94.59
0.859029241;79.295;97.025;91.63;94.59
0.871301088;79.17;96.95;91.57;94.65
0.883572934;79.055;97.01;91.32;94.565
0.89584478;79.615;96.93;91.51;94.575
0.908116626;79.43;97.045;91.325;94.4
0.920388473;79.1;96.95;91.46;94.565
0.932660319;79.43;96.91;91.405;94.45
0.944932165;79.325;96.97;91.41;94.42
0.957204012;79.21;96.945;91.08;94.555
0.969475858;79.54;97.03;91.525;94.4
0.981747704;79.335;96.975;91.115;94.55
0.994019551;79.63;96.92;91.3;94.47
1.006291397;79.18;96.925;91.41;94.47
1.018563243;79.135;96.94;91.24;94.505
1.030835089;79.025;96.915;91.11;94.445
1.043106936;79.13;96.95;91.23;94.42
1.055378782;78.895;96.915;91.34;94.415
1.067650628;79.1;96.875;91.26;94.555
1.079922475;79.81;96.82;91.32;94.49
1.092194321;79.455;96.855;91.215;94.48
1.104466167;79.35;96.875;90.965;94.47
1.116738014;79.355;96.875;90.97;94.41
