theta;RFC;;KNN;;GNB;;SVC;
0;79.77;2.952473539;97.36;1.247156766;91.72;2.43137821;94.925;1.588041246
0.012271846;79.94;3.020165558;97.39;1.165289664;91.79;2.140303717;95.065;1.663813391
0.024543693;79.995;3.078550795;97.38;1.151347037;91.45;2.146508793;94.87;1.690591612
0.036815539;79.69;3.179449638;97.42;1.121873433;91.69;2.285585264;94.91;1.583319298
0.049087385;79.97;2.873864993;97.375;1.186117616;91.855;2.340186958;94.9;1.655294536
0.061359232;80.14;2.777660886;97.41;1.186128155;91.78;2.373099239;94.915;1.531429071
0.073631078;79.83;2.966664794;97.395;1.188055133;91.635;2.338648114;94.805;1.7448424
0.085902924;79.965;3.312291503;97.405;1.220030737;91.8;2.203406454;94.885;1.656585343
0.09817477;79.035;3.235162283;97.345;1.176212141;91.8;2.260530911;94.87;1.70531522
0.110446617;79.765;3.02361952;97.415;1.239062145;91.725;2.371049346;94.905;1.730166177
0.122718463;79.335;3.248118686;97.405;1.176212141;91.57;2.280372777;95.03;1.834148304
0.134990309;79.7;2.682349716;97.345;1.141698296;91.795;2.385471651;94.96;1.638108666
0.147262156;79.79;2.635507541;97.405;1.128483496;91.56;2.397164992;94.785;1.643555597
0.159534002;80.025;3.204976599;97.38;1.133843023;91.685;2.43480492;94.905;1.633546755
0.171805848;79.535;2.988523883;97.265;1.194686151;91.81;2.23470356;94.905;1.538985055
0.184077695;79.785;3.33185759;97.365;1.205933249;91.945;2.382115656;94.88;1.576578574
0.196349541;79.41;3.097079269;97.325;1.253744392;91.435;2.295272315;94.95;1.556438242
0.208621387;79.69;2.919571886;97.33;1.1836807;91.715;2.285010941;94.815;1.633485537
0.220893233;79.36;3.206306286;97.355;1.202694891;91.705;2.565243653;94.835;1.695663587
0.23316508;80.14;3.24043207;97.28;1.190210065;91.535;2.659186906;94.815;1.619652741
0.245436926;79.735;3.250734532;97.385;1.168021832;91.5;2.575849374;94.91;1.595900999
0.257708772;79.885;3.289266636;97.32;1.175840125;91.66;2.434009039;94.815;1.613466764
0.269980619;80.125;3.201854931;97.3;1.208304597;91.715;2.430282905;94.77;1.611552047
0.282252465;80.055;3.149519805;97.28;1.211032617;91.575;2.705896339;94.88;1.628066338
0.294524311;80.125;3.117190241;97.3;1.228820573;91.695;2.511866836;94.925;1.636115827
0.306796158;79.34;2.913657495;97.32;1.156546584;91.795;2.49408801;94.745;1.588230147
0.319068004;79.57;3.21793412;97.29;1.162282238;91.7;2.511971337;94.94;1.589465319
0.33133985;79.625;2.926922445;97.345;1.262329196;91.88;2.394911272;94.86;1.68089262
0.343611696;79.24;3.280609699;97.28;1.164731729;91.76;2.397373563;94.81;1.618301579
0.355883543;79.435;3.223860264;97.29;1.239314327;91.695;2.27034689;94.765;1.60071078
0.368155389;79.38;3.024169307;97.315;1.242286199;91.645;2.07640916;94.755;1.585078862
0.380427235;79.99;2.970673324;97.265;1.23785096;91.84;2.243746866;94.745;1.585078862
0.392699082;79.19;3.250215377;97.255;1.243975482;91.615;2.544459668;94.795;1.52331054
0.404970928;79.985;3.049143322;97.345;1.260347174;91.855;2.163671648;94.795;1.671967404
0.417242774;79.68;3.142864935;97.31;1.252557384;91.61;2.120825311;94.73;1.548257085
0.429514621;79.92;3.145409353;97.25;1.215524578;91.78;2.13227578;94.765;1.562777975
0.441786467;79.88;3.084736618;97.215;1.223223201;91.675;2.277471185;94.825;1.540089283
0.454058313;79.78;3.044930213;97.235;1.251908543;91.72;2.417974359;94.76;1.548353965
0.46633016;79.945;3.008234532;97.19;1.262497525;91.665;2.419767551;94.745;1.588230147
0.478602006;79.73;3.159446154;97.19;1.284095012;91.79;2.287116088;94.765;1.597584114
0.490873852;79.615;3.014013105;97.175;1.273528563;91.645;2.259751092;94.92;1.60424437
0.503145698;79.42;3.041151098;97.12;1.269094165;91.7;2.427962108;94.79;1.546253537
0.515417545;79.805;2.59315927;97.205;1.321164259;91.63;2.337327534;94.69;1.656472155
0.527689391;79.73;3.195637652;97.205;1.25716944;91.515;2.369024061;94.715;1.612846862
0.539961237;79.14;3.13853469;97.16;1.254750971;91.74;2.173108373;94.78;1.444506836
0.552233084;79.49;3.346625166;97.18;1.30866344;91.655;2.386100375;94.66;1.582529621
0.56450493;79.635;2.864310563;97.23;1.271652468;91.81;2.274620848;94.75;1.737095277
0.576776776;79.735;3.211273112;97.17;1.369707998;91.85;2.284184756;94.685;1.55024998
0.589048623;79.345;3.174661399;97.075;1.327356395;91.615;2.362048899;94.765;1.575523722
0.601320469;79.575;3.501696018;97.14;1.36762568;91.445;2.43607779;94.755;1.666575831
0.613592315;79.295;3.185981011;97.125;1.400669483;91.8;2.39582971;94.795;1.576538931
0.625864161;79.94;3.372150649;97.155;1.403023521;91.775;2.308002383;94.645;1.503820136
0.638136008;79.355;3.301738179;97.105;1.330967693;91.54;2.502678565;94.68;1.68896418
0.650407854;79.735;2.813765271;97.065;1.331643721;91.32;2.312487838;94.71;1.53977271
0.6626797;79.48;3.336854807;97.14;1.376735269;91.535;2.522156815;94.66;1.62
0.674951547;79.66;2.990718977;97.115;1.381765175;91.54;2.168732349;94.685;1.487707969
0.687223393;79.355;3.310811834;97.145;1.345910473;91.335;2.380183816;94.645;1.645136772
0.699495239;79.39;2.628288416;97.095;1.285875188;91.42;2.282235746;94.7;1.504991694
0.711767086;79.51;3.353341617;97.08;1.344841998;91.54;2.273411533;94.585;1.533060664
0.724038932;79.925;3.294977238;97.02;1.422884394;91.485;2.261034055;94.615;1.460915809
0.736310778;79.335;2.887953428;97.065;1.335393201;91.585;2.363318641;94.73;1.507348666
0.748582624;79.295;3.259674063;97.11;1.372188034;91.765;2.462168759;94.74;1.41859085
0.760854471;79.785;2.645047259;97.05;1.41509717;91.42;2.341708778;94.605;1.552892462
0.773126317;79.425;3.052355648;97.05;1.364734406;91.4;2.249444376;94.64;1.563777478
0.785398163;79.705;3.03405257;97.025;1.369990876;91.435;2.009545969;94.62;1.491844496
0.79767001;79.74;3.30944104;97.045;1.330591974;91.38;2.455727998;94.65;1.458595215
0.809941856;78.94;3.461415895;97.005;1.467131555;91.355;2.436488252;94.705;1.419674258
0.822213702;79.67;2.925935748;96.955;1.440650895;91.41;2.237610332;94.63;1.512646687
0.834485549;78.84;2.935029812;96.965;1.461600151;91.495;2.200562428;94.765;1.525540888
0.846757395;79.2;3.48353269;96.99;1.365613415;91.45;2.253330868;94.59;1.477125587
0.859029241;79.295;2.735045703;97.025;1.373635687;91.63;2.352254238;94.59;1.502298239
0.871301088;79.17;3.266664966;96.95;1.32947358;91.57;2.14827838;94.65;1.500833102
0.883572934;79.055;3.472675482;97.01;1.376553668;91.32;2.227689386;94.565;1.506079347
0.89584478;79.615;2.915351608;96.93;1.305794777;91.51;2.432056743;94.575;1.518840018
0.908116626;79.43;3.054521239;97.045;1.345538925;91.325;2.550857699;94.4;1.508310313
0.920388473;79.1;3.250384593;96.95;1.400892573;91.46;2.382939361;94.565;1.639595987
0.932660319;79.43;3.200796776;96.91;1.37;91.405;2.218890489;94.45;1.467140075
0.944932165;79.325;3.209653408;96.97;1.426218777;91.41;2.436575466;94.42;1.680357105
0.957204012;79.21;2.851473303;96.945;1.387254483;91.08;2.263537055;94.555;1.514752455
0.969475858;79.54;2.830794941;97.03;1.387119317;91.525;2.264260365;94.4;1.573213272
0.981747704;79.335;3.520692403;96.975;1.332994749;91.115;2.129383714;94.55;1.656049516
0.994019551;79.63;3.005511604;96.92;1.399499911;91.3;2.409356761;94.47;1.527776162
1.006291397;79.18;3.303422468;96.925;1.382705681;91.41;2.341345767;94.47;1.455712884
1.018563243;79.135;3.119979968;96.94;1.362497706;91.24;2.420206603;94.505;1.588230147
1.030835089;79.025;3.412751822;96.915;1.31919483;91.11;2.057401273;94.445;1.630789686
1.043106936;79.13;3.068892308;96.95;1.359227722;91.23;2.206150494;94.42;1.594866766
1.055378782;78.895;3.032569043;96.915;1.398311482;91.34;2.245974176;94.415;1.54119272
1.067650628;79.1;3.433656943;96.875;1.310295768;91.26;2.183437657;94.555;1.592003455
1.079922475;79.81;3.245597017;96.82;1.353735572;91.32;2.06944437;94.49;1.590565937
1.092194321;79.455;3.186765602;96.855;1.340326453;91.215;2.629881176;94.48;1.534470593
1.104466167;79.35;3.45;96.875;1.366336342;90.965;2.415838364;94.47;1.558557025
1.116738014;79.355;2.892485955;96.875;1.369990876;90.97;2.331115613;94.41;1.573817016
1.12900986;78.75;2.941513216;96.845;1.427751729;91.02;2.269273011;94.57;1.581170453
1.141281706;78.94;2.975130249;96.9;1.332291259;91.215;2.425134017;94.645;1.568908856
1.153553552;79.27;3.733912158;96.885;1.376326633;91.09;2.57912776;94.58;1.597998748
1.165825399;79.28;3.092992079;96.86;1.430174814;91.045;2.487061519;94.42;1.593298465
1.178097245;78.985;2.717954194;96.92;1.383329317;90.965;2.310037878;94.405;1.464061133
1.190369091;79.47;3.10066122;96.955;1.309761429;91.295;2.149529018;94.47;1.385315848
1.202640938;78.945;3.201480126;96.965;1.343977306;91.17;2.364550697;94.64;1.596997182
1.214912784;79.04;3.003065101;96.865;1.363552346;90.98;2.293381782;94.485;1.500758142
1.22718463;79.02;2.905959394;96.8;1.354621718;91.17;2.454811602;94.5;1.398213145
1.239456477;79.355;3.542806091;96.9;1.339776101;91.205;2.247326189;94.425;1.669393602
1.251728323;78.96;2.889359791;96.94;1.344023809;90.99;2.383254078;94.465;1.471827096
1.264000169;79.405;3.057527596;96.825;1.357156955;90.785;2.306788894;94.4;1.534600925
1.276272016;79.15;3.091520661;96.915;1.284630297;90.94;2.330536419;94.55;1.570827807
1.288543862;79.54;3.043583414;96.94;1.279218511;90.825;2.423195205;94.465;1.652656952
1.300815708;78.45;3.122098653;96.885;1.345092934;91.255;2.442841583;94.485;1.482320815
1.313087554;78.61;3.338098261;97.005;1.329464178;90.925;2.423195205;94.515;1.533712815
1.325359401;79.04;3.127842707;96.845;1.314714798;90.99;2.505972865;94.46;1.472548811
1.337631247;79.1;3.203903869;96.96;1.342907294;90.97;2.167740759;94.445;1.593573029
1.349903093;79.035;3.40679835;96.86;1.313544822;91.08;2.467508865;94.52;1.479729705
1.36217494;78.82;3.111687645;96.93;1.341678054;91.045;2.323892209;94.5;1.590597372
1.374446786;79.025;3.254516093;96.88;1.290581264;91.275;2.271976012;94.45;1.514100393
1.386718632;79.085;2.710216781;96.985;1.338758753;90.795;2.315269963;94.47;1.585591372
1.398990479;79.06;3.43313268;96.9;1.332291259;90.995;2.244431999;94.55;1.646966909
1.411262325;79.05;3.559845502;96.935;1.305095782;90.995;2.274307587;94.42;1.577529714
1.423534171;79.465;2.814475973;96.98;1.282419588;90.98;2.242676972;94.52;1.64
1.435806017;79.005;3.042609899;96.955;1.296331362;90.95;2.352126697;94.42;1.492849624
1.448077864;79;3.308322838;96.945;1.292081654;90.985;2.500454959;94.415;1.595391801
1.46034971;78.53;2.917893075;96.995;1.235910595;91.27;2.223083444;94.52;1.547449515
1.472621556;79.175;3.401745875;96.945;1.244779097;91.07;2.141284661;94.475;1.581731646
1.484893403;79.515;2.986180671;96.925;1.316007219;90.87;2.241227342;94.54;1.51439757
1.497165249;79.025;3.258354646;96.96;1.234260912;90.82;2.348957215;94.57;1.526466508
1.509437095;78.94;3.264414189;96.865;1.333894674;91.25;2.201703886;94.525;1.595893167
1.521708942;79.17;3.284980974;96.955;1.307851291;90.985;2.296143506;94.53;1.503030272
1.533980788;79.19;3.17787665;96.955;1.224938774;91.1;2.446425965;94.445;1.527898884
1.546252634;79.2;2.80624304;97.035;1.265414952;90.86;2.146019571;94.57;1.644718821
1.55852448;78.95;3.447100231;96.97;1.21823643;90.96;2.110308034;94.43;1.620216035
1.570796327;79.63;3.262376434;97.035;1.298566517;91.085;2.407337741;94.65;1.572418519
1.583068173;79.44;3.161708399;97.03;1.288060558;91.165;2.305488018;94.525;1.561049327
1.595340019;79.925;3.644430683;96.95;1.340708768;90.875;2.343474984;94.63;1.67871975
1.607611866;79.425;3.146724487;97.02;1.234746938;91.245;2.108903744;94.505;1.602334235
1.619883712;79.16;2.818581203;97.035;1.273292975;91.16;2.073499457;94.645;1.575269818
1.632155558;79.645;3.155388249;97.03;1.343167897;91;2.1;94.665;1.614086429
1.644427405;78.26;2.877047097;96.98;1.266728069;90.88;2.294689521;94.585;1.621812258
1.656699251;79.23;3.519531219;97.03;1.316852308;90.97;2.240334796;94.595;1.636604717
1.668971097;79.72;3.168059343;97.055;1.189317031;91.04;2.201908263;94.56;1.586316488
1.681242944;79.16;3.086162666;97.06;1.269409311;91.045;2.421874274;94.6;1.609347694
1.69351479;79.09;2.84198874;97.09;1.233653112;91.145;2.33162497;94.66;1.568247429
1.705786636;79.415;3.105684305;97.135;1.256692086;91.125;2.420098139;94.54;1.504460036
1.718058482;79.695;3.047864006;97.175;1.194518732;90.99;2.361122614;94.705;1.76507082
1.730330329;79.505;2.898702296;97.07;1.305794777;91.065;2.342706768;94.7;1.615549442
1.742602175;79.115;3.448807765;97.065;1.252307869;91.195;2.331196045;94.61;1.622621336
1.754874021;79.065;3.51045225;97.14;1.278827588;91.03;2.181536156;94.665;1.558933931
1.767145868;78.965;2.868148357;97.145;1.239546288;91.25;2.201703886;94.615;1.750507069
1.779417714;79.13;2.831624975;97.08;1.285923792;91.215;2.40234781;94.6;1.630950643
1.79168956;79.59;2.847261843;97.08;1.348554782;91.115;2.599860573;94.685;1.569482399
1.803961407;79.345;3.007237104;97.22;1.306369014;91.13;2.3575623;94.64;1.697174122
1.816233253;78.55;3.698986348;97.13;1.258213019;91.035;2.471087817;94.59;1.559455033
1.828505099;79.545;2.94965676;97.145;1.185948987;91.255;2.459161442;94.65;1.605459436
1.840776945;79.25;2.914189424;97.055;1.347024499;91.285;2.209360767;94.625;1.800520758
1.853048792;79.335;3.354142961;97.135;1.244698759;91.12;2.411555515;94.65;1.600781059
1.865320638;79.795;3.350444;97.205;1.170672883;91.05;2.321098878;94.63;1.58685223
1.877592484;79.615;3.2162517;97.18;1.221720099;91.35;2.275412051;94.69;1.527710706
1.889864331;78.875;3.190121471;97.21;1.279023065;91.535;2.451790162;94.705;1.576538931
1.902136177;79.255;3.055728227;97.105;1.290920214;91.445;2.159739568;94.655;1.601085569
1.914408023;78.945;3.393298543;97.185;1.169732875;91.235;2.30917193;94.685;1.760191751
1.92667987;79.06;3.188479261;97.245;1.203110552;91.54;2.253530563;94.705;1.644832818
1.938951716;79.04;3.115830547;97.26;1.263882906;91.505;2.402597553;94.645;1.657249227
1.951223562;79.52;2.813289889;97.235;1.357304314;91.42;2.508704845;94.755;1.543526806
1.963495408;79.115;2.965514289;97.265;1.245903287;91.445;2.308565572;94.685;1.674298361
1.975767255;79.52;3.49064464;97.24;1.233855745;91.5;2.47082982;94.84;1.671645896
1.988039101;79.37;3.329129015;97.295;1.23510121;91.315;2.260149331;94.755;1.633240644
2.000310947;79.665;2.745045537;97.285;1.253505086;91.09;2.586870696;94.725;1.580150309
2.012582794;79.715;2.855043783;97.35;1.235920709;91.585;2.549563688;94.61;1.569362928
2.02485464;79.135;3.090190124;97.325;1.249749975;91.4;2.435159132;94.77;1.557915274
2.037126486;79.54;3.08356936;97.3;1.260952021;91.475;2.479289213;94.67;1.520230246
2.049398333;80.04;2.53148178;97.235;1.269753913;91.405;2.534457536;94.725;1.583311403
2.061670179;79.735;3.208157571;97.36;1.208470107;91.59;2.334930406;94.7;1.694107435
2.073942025;79.93;3.121714273;97.345;1.186791894;91.5;2.420743687;94.7;1.743559577
2.086213872;80.065;3.333657901;97.345;1.17408475;91.505;2.177722434;94.815;1.537294702
2.098485718;79.56;2.969242328;97.3;1.208304597;91.435;2.543280362;94.72;1.617590801
2.110757564;79.76;3.026119628;97.36;1.22490816;91.405;2.2789197;94.72;1.617590801
2.12302941;80.305;2.910236245;97.36;1.191805353;91.34;2.202135327;94.77;1.528757666
2.135301257;79.815;3.094878834;97.42;1.226213684;91.39;2.674490606;94.775;1.540089283
