theta;RFC;;KNN;;GNB;;SVM;
0;81.54932;0.957194598;91.3109;0.791474453;88.35693;0.906925976;87.94081;0.899949673
0.012271846;82.27219;0.958445415;91.69003;0.737500013;88.89716;0.848146175;88.65791;0.868451255
0.024543693;82.30351;1.308735004;91.68342;0.727566783;88.87583;0.897655491;88.62087;0.875691186
0.036815539;82.13072;1.104253368;91.68343;0.724396373;88.88153;0.894899944;88.60441;0.875760528
0.049087385;82.24096;1.064569133;91.65219;0.742098561;88.84624;0.911231388;88.58298;0.837232429
0.061359232;82.30838;1.094934498;91.63568;0.742336027;88.83223;0.943711946;88.54935;0.82011613
0.073631078;82.49337;1.138418628;91.61432;0.740329087;88.83055;0.947995911;88.53446;0.82870491
0.085902924;82.21627;0.998992541;91.61679;0.742388999;88.83049;0.978043521;88.53945;0.832661232
0.09817477;82.29357;1.058121177;91.6209;0.746774913;88.81412;0.962681196;88.55178;0.868674353
0.110446617;82.25978;0.996478144;91.61431;0.754682313;88.84127;0.944102165;88.53696;0.882465001
0.122718463;82.19898;1.052137168;91.60693;0.736737989;88.8536;0.963879972;88.51069;0.914346627
0.134990309;82.36595;1.20476276;91.61269;0.739671058;88.81251;0.919010288;88.52059;0.908035452
0.147262156;82.34619;1.100447579;91.61024;0.723901901;88.80346;0.907207004;88.47452;0.904878417
0.159534002;82.30921;0.934424329;91.59703;0.696963392;88.79606;0.911655372;88.43417;0.936212658
0.171805848;82.2549;1.016820805;91.59211;0.70000467;88.7771;0.938378959;88.41938;0.947925902
0.184077695;82.39801;1.157360588;91.57405;0.692915585;88.76236;0.955089687;88.39055;0.962997013
0.196349541;82.36678;1.1520954;91.56907;0.689864367;88.79278;0.942152425;88.37743;0.981277558
0.208621387;82.2862;1.051345918;91.56669;0.686226941;88.76481;0.92212064;88.36841;0.983875511
0.220893233;82.32811;1.085682384;91.5691;0.69865148;88.72859;0.912997099;88.33628;0.966463451
0.23316508;82.30837;1.141101815;91.53625;0.699739142;88.72284;0.900409915;88.32976;0.974692784
0.245436926;82.22283;1.160247784;91.53703;0.709633207;88.71795;0.914307206;88.33305;0.962591361
0.257708772;82.23189;1.262379958;91.52137;0.714569418;88.69895;0.955116834;88.30509;0.965814031
0.269980619;82.29191;1.172196205;91.50911;0.738843893;88.71462;0.936990126;88.28125;0.979549339
0.282252465;82.21217;1.143509633;91.51229;0.726528242;88.75078;0.924221527;88.25165;0.955082534
0.294524311;82.2302;1.01593989;91.50003;0.711781026;88.73844;0.900424403;88.25743;0.933667877
0.306796158;82.15298;1.259063604;91.4844;0.725127713;88.71216;0.918273899;88.23439;0.926525066
0.319068004;82.33633;1.174679123;91.45896;0.744096915;88.71061;0.935291162;88.22369;0.914615413
0.33133985;82.03539;1.165984098;91.44335;0.756190272;88.70309;0.924596886;88.21385;0.882774143
0.343611696;82.20804;1.027697309;91.44572;0.740117938;88.6982;0.893513357;88.20727;0.918767869
0.355883543;82.1949;1.13360977;91.43422;0.743257339;88.71129;0.910353165;88.18667;0.894698497
0.368155389;81.99992;1.092179341;91.39724;0.75964193;88.72038;0.913107242;88.19487;0.899729311
0.380427235;82.10116;1.104154796;91.39309;0.763020237;88.69897;0.89497263;88.20068;0.881952991
0.392699082;82.15045;1.076963123;91.39885;0.759739158;88.72034;0.895845983;88.1842;0.883424394
0.404970928;82.19655;1.200380593;91.38491;0.755272667;88.72532;0.871711442;88.20969;0.887931143
0.417242774;82.19819;1.055643687;91.36757;0.774278364;88.72615;0.832596377;88.20727;0.883317155
0.429514621;82.24016;1.206791819;91.36186;0.763630578;88.7335;0.83354367;88.24178;0.884404801
0.441786467;82.18832;1.065330417;91.35036;0.784545047;88.71956;0.870999877;88.23109;0.876297085
0.454058313;82.17188;1.096969601;91.35363;0.77603158;88.74918;0.852133644;88.26065;0.863588193
0.46633016;82.09615;1.084046054;91.36273;0.773867286;88.70969;0.886595643;88.26397;0.887024481
0.478602006;82.19325;1.160921387;91.34132;0.772186181;88.69979;0.885794054;88.26313;0.91060093
0.490873852;82.0929;1.197765557;91.3207;0.788554583;88.71456;0.87360282;88.29604;0.914087468
0.503145698;82.06744;1.182953983;91.30346;0.798627515;88.6949;0.887027514;88.35275;0.893402411
0.515417545;82.27303;1.056510203;91.30678;0.779117303;88.70398;0.869478683;88.33386;0.867214691
0.527689391;82.16611;1.088904467;91.2944;0.77951009;88.75828;0.887519826;88.33139;0.87370266
0.539961237;82.20066;1.11811979;91.26485;0.788780088;88.79278;0.886101976;88.35281;0.863206889
0.552233084;82.26972;1.121488734;91.25908;0.798968756;88.80342;0.901699653;88.37417;0.869247514
0.56450493;82.33877;1.130333472;91.23851;0.787190911;88.82228;0.880841962;88.43505;0.888536171
