Theta1: 0;Theta2: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;69.846;72;71.846;70.308;70.231;67.077;70.846;68;70.462;70.308;70.692;70.692;68.231;68.077;68.846;69.154;68.308;70.923;67.692;73.769;72.385;70.923;67.538;69;67.615;70.538;69.846;68.538;72.462;66.077;75.538;70;72.462;68.385;69.154;70.154;70.923;69.077;69.769;70.538;72.231;69.923;71.769;68.615;72.154;70;68.308;68.769;71.615;68;68.231;68.462;72.692;72;70.077;67.308;70.308;68.538;70.846;71.077;69.615;71.538;70.385;72.231;69.231;71.462;71;73;67.385;71;68.308;70.308;68.538;68.769;70;72.385;71.846;71.846;70.077;70.231;68.846;70.154;69.846;73.385;67.231;68;71.231;68.231;70.308;70.385;71.692;70.077;69.538;68.077;71.385;71.692;69.769;69.308;71.923;66.385
KNN;98.077;97.538;97.077;97.385;96.538;96.615;97.462;98.462;98;98;98.308;97.923;97.846;97.769;97.615;98.462;97.692;97.769;97.308;97.846;97.769;97.538;97.538;97.769;98.154;97.692;97.923;97.231;98.462;97.308;98.154;97.846;97.846;97.308;98.077;97.615;97.769;97.692;98.538;97.615;98.231;97.615;96.769;98.462;97.846;96.923;97.538;96.769;97.692;97.615;98;97.692;97.462;97.615;97.769;97.538;97.615;97.154;97;97.308;97.077;98;97.769;97.923;97.538;97.538;97.846;97.769;96.538;97.538;96.923;97.846;97.615;97.462;97.308;98.077;98.846;97.923;98.077;97.462;97.385;97.538;97.077;98;97.692;97.231;97.462;97.538;97.692;97.385;97.538;97.308;97.846;96.923;97.462;97.462;97.923;97.308;98.154;97.692
GNB;96.923;96.769;97.077;96.769;95.692;96.538;96;97.154;95.692;97.462;97;96.846;96.385;97;96.615;97.154;97.154;96.231;95.692;97.692;96.692;96.308;96.231;96.077;97.385;96.692;96.769;95.923;98.154;96.385;97.615;96.308;96.923;95.615;97.769;95.846;96.231;97.154;97.077;96.615;97.385;97.615;96.231;96.923;96.769;96.308;96.692;96.154;96.385;96.154;96.462;97.462;97.077;97.077;96.385;96.385;97.077;95.692;97.154;96.692;95.923;96.692;96.846;97;96.846;96.846;96.385;96.231;95.462;96.308;95.846;96.538;97.154;97;96.692;96.846;96.846;97.154;96.385;96.231;96.769;97.077;97.231;97.308;96.692;96.385;96.615;96.462;96.308;97.923;97;97;95.769;95.769;96.385;97.231;97.077;96.692;96.769;96.154
SVM;96.538;95.615;95.462;96.231;95.462;94.923;95.077;96.615;96.077;96.077;96.385;95.923;95.231;95.462;95.923;96.538;95.923;95.615;94.692;96.692;96;96.077;95.308;96;96.846;95.769;96.462;94.846;96.538;95.385;97;95;96.923;95.231;96.923;96;95.769;95.462;96.154;96.077;96.692;96.154;95.231;96.385;96.154;95.077;96.077;95.769;95.615;96.231;95.692;96.154;95.923;96.769;95.923;95.231;96;95.615;95.692;95.692;95.769;96.231;96.385;95.846;95.692;95.846;96.154;96.231;94.846;95.769;95.385;96.077;95.846;95.846;96.308;96.077;96.308;95.308;95.385;95.385;95.769;96.077;95.769;96.846;96.154;95.462;96.231;96;95.615;95.923;96.154;95.462;95.231;95;95.769;95.615;95.923;96;96.308;95.692
Theta1: 0;Theta2: 0.179519580205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;67;67.538;66.077;67.385;65.923;64.385;64.692;68.923;61;65.231;66.923;64.769;66.923;65;65.538;67.846;65.538;66.385;65.077;67.692;64.769;66.923;64.308;66.077;66.846;65.769;65.615;64.308;67.692;66.846;66.462;67.385;64.846;67.923;67.462;65.538;66.846;68.615;67.692;64.692;68.538;65.538;65.846;64.692;65.538;66.385;66.385;69.308;68.154;66.077;67.154;64.923;67.385;63.692;65.769;67.692;67.769;64.231;70.308;68;67.769;69.154;68;65.846;64.923;66.385;65.462;68.692;66;66.231;64.923;68.154;66.385;67.692;68.923;66.154;66.462;66.462;65.154;67.231;69.615;69.077;65.385;68.538;67;63.692;65.154;65.846;68.385;68.923;68.308;66.769;69.615;67.308;65.923;68.462;67.923;70.077;70;65.231
KNN;97.385;97;96.769;97.154;96;96.154;96.615;97.615;97.462;97.462;97.462;97.538;97.154;97.385;97;97.846;97.692;96.769;96.538;97.385;97.308;97.692;96.769;96.769;97.923;97.538;97.231;96.692;97.846;96.846;97.692;96.615;97.385;97.231;97.154;96.769;97.538;96.923;97.846;96.923;97.462;97.538;97;97.692;97.385;96.538;97;96.615;96.385;96.923;98;97.462;97.615;97.538;97.615;96.692;97;97;97.385;96.923;97;97.769;98.231;97.462;97.231;97.154;97;97.538;96.615;96.769;97.154;97.692;97.846;97.308;97;97.615;97.538;97.692;97.077;97.231;97;97.615;97.231;97.615;97.077;96.923;97.154;96.923;97.308;96.769;97.231;97.385;97;96.308;96.615;96.923;97.538;97.231;98;96.923
GNB;95.769;96;96.308;96.462;94.231;95.154;95.846;97.154;96.077;97.077;97.385;96;95.769;96.308;96.231;96.923;97.231;95.769;95.846;96.462;96.231;95.846;96.308;96.308;97.077;96.077;96.231;96;97.615;95.769;95.923;96;97.077;95.846;96.538;95.538;96.385;96.308;97.077;95.615;96.923;97;96.615;96.231;95.692;95.923;96.615;95.385;95.538;96;96.615;96.538;96.846;96.923;95.615;96.462;96.462;95.462;96.385;95.923;96.231;95.769;97.308;96.692;96;97.077;96.385;96.769;94.769;95.462;95.385;96.077;97.231;95.923;96.538;96.538;96.462;96.769;96.077;95.231;96.077;96.846;96.769;96.769;96.231;96.308;95.769;95.769;96.308;96.769;96.769;96.769;95.462;95.615;95.692;96.385;96.846;96.077;96.231;95.846
SVM;95.538;94.923;95;95.538;94.538;95.077;94.538;95.538;94.385;95.769;96.154;95.462;95;96;95;95.615;95.769;94.308;94.462;96.077;95.308;95.538;95.385;95.231;95.538;95.077;95.769;93.538;96.385;94.923;95.462;95.077;96.462;94.923;96;95.154;94.769;95.462;96.154;95.538;96.231;95.923;94.923;95.308;95.769;94.385;96.077;95.077;94.692;94.538;95.154;96.385;95.769;96.462;95.308;94.231;95.692;94.308;95.154;94.538;94.846;96.308;96.769;95.923;94.231;95.462;96;95.923;95.077;94.923;93.923;96.077;95.385;95.615;95.154;95;95.846;95.846;95.692;94.769;95;95.769;95.538;96;95.308;95.462;95.077;94.923;95.769;95.308;95.462;95.231;95;95;94.231;95.077;95.538;94.615;95.846;95.462
Theta1: 0;Theta2: 0.35903916041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;64.538;66.538;66.846;66.154;63;66.385;65.846;66.923;68.231;64.077;69.308;66.923;64.615;64.769;67.846;66.769;68.231;67;66.692;67.923;69.077;66.385;66.538;64.077;67.615;69.462;66;65.231;64.692;65.615;68.692;65;66.769;64.308;67.385;64.615;65.615;66.769;71.692;69.154;66.385;67.385;67.923;65.231;64.538;64.462;63.846;67.538;64.846;68.615;66.615;65.538;65.692;66;64.538;66.385;64.923;67.462;67;66.462;62.077;66.154;64.846;64.615;67.154;67.615;65;69.615;65.615;65.846;64.692;67.692;63.308;63.923;67.308;67.077;67.538;67;65.308;64.769;69.615;67.462;64.615;66.462;68.385;66.615;68.231;64.231;68.538;67.385;68.538;67.769;65.385;64;66.769;68.385;68.923;65.385;70;67.615
KNN;96.923;97;96.846;97.308;95.615;96.308;96.385;97.615;97.769;97.615;97.308;97;96.615;97.385;96.769;98.231;97.615;96.769;96.462;97.154;97.385;97.462;96.923;97;98.231;97.538;96.769;96.846;98.538;97.154;97.462;96.308;97.308;97;97;96.923;97.231;96.923;97.615;97;97.385;97.462;97.846;97.615;97.231;96.692;97.154;96.462;96.385;97.692;97.615;97.462;97.385;98.077;97.846;96.538;97.462;96.846;97.615;97.385;96.923;96.923;97.538;97.538;97.462;97.615;97.308;97.154;96.538;95.923;96.923;97.308;98;97.462;97.615;97.692;97.154;97.462;97.308;96.692;97.077;97.154;97.385;97.615;97.308;97;96.692;96.923;97;96.462;97.308;97.538;96.615;96.846;96.385;96.846;97.615;96.846;97.385;97
