Theta1: 0;Theta2: 0
RFC;85.139;83.889;85.556;85.694;84.167;82.083;85.139;84.583;87.083;84.861;84.861;86.944;85.556;85.278;86.806;84.861;85.278;82.500;82.917;84.444;85.556;83.611;84.722;84.861;86.944;85.139;86.528;84.167;85.278;84.028;82.778;80.694;83.333;86.250;84.028;85.417;86.389;82.500;82.639;83.194;85.278;85.417;87.083;83.889;85.278;84.583;84.028;82.917;83.889;86.250;83.194;83.750;83.333;83.472;87.778;83.333;87.222;84.861;83.472;86.389;81.806;85.139;83.750;83.333;83.611;84.722;83.750;82.639;86.389;84.028;85.694;84.583;85.694;86.111;83.194;85.694;86.389;85.694;85.278;83.056;85.417;85.139;84.444;86.111;85.278;87.361;86.111;82.361;86.528;83.333;85.694;85.694;80.278;86.667;86.528;84.861;83.056;84.444;85.278;85.694
KNN;95.139;94.583;94.167;94.583;94.167;93.750;93.472;94.583;95.694;95.278;94.444;94.306;93.750;93.889;95.833;94.444;94.306;93.333;93.611;94.167;94.861;93.056;94.028;94.167;95.694;94.444;95.000;94.306;95.417;93.750;94.444;93.611;93.472;96.667;94.583;96.528;95.417;92.917;92.917;94.722;94.722;93.194;95.278;93.056;95.694;94.861;94.722;93.472;93.472;95.833;94.028;94.444;92.500;93.889;94.444;95.139;96.111;93.472;94.722;94.583;94.028;95.139;94.028;94.306;94.583;93.194;94.444;95.000;95.556;94.861;94.444;94.028;95.972;94.722;93.333;95.278;95.417;95.417;95.000;94.583;94.583;95.139;94.444;95.000;94.028;95.833;94.028;94.167;95.278;93.611;94.444;95.833;95.000;94.444;95.278;93.333;94.028;95.139;95.000;94.167
GNB;86.944;87.500;86.667;86.389;88.194;83.333;85.972;83.611;86.944;86.667;86.111;88.472;85.139;84.583;88.333;87.222;85.833;85.139;85.972;86.389;86.667;83.472;82.917;85.139;87.500;89.028;86.111;82.778;86.667;82.500;85.694;86.111;86.389;86.806;85.278;88.611;84.028;83.889;84.306;86.111;84.861;83.611;87.917;85.694;86.944;88.472;83.889;87.222;86.389;85.694;85.417;85.278;84.167;84.722;86.111;84.583;86.944;86.250;87.222;88.333;84.167;89.167;85.556;84.167;85.139;86.528;85.417;85.139;86.389;86.250;87.083;87.500;87.361;86.806;83.889;87.917;88.056;88.333;84.306;84.583;83.611;86.667;84.306;87.639;87.083;88.472;86.250;84.861;86.250;85.833;86.250;86.389;84.583;86.250;86.806;87.083;86.528;85.556;85.139;87.778
SVM;87.222;86.806;85.972;87.500;87.361;83.750;85.694;86.111;87.083;89.167;86.528;85.139;86.111;84.028;87.639;85.139;85.417;84.583;84.861;86.528;86.250;83.889;84.861;85.694;88.333;87.500;86.667;83.333;86.806;83.611;86.111;87.083;86.111;86.111;85.972;86.944;87.500;84.028;85.694;86.250;85.000;85.278;88.889;84.861;87.083;87.639;84.722;84.722;86.667;86.667;84.722;85.694;81.944;87.083;86.528;84.167;86.667;85.556;85.139;86.389;82.639;87.361;85.139;84.722;83.333;85.556;86.528;86.389;86.250;86.806;86.250;85.139;87.083;87.778;85.139;87.639;87.222;86.806;86.667;85.278;86.944;86.528;88.194;87.083;84.028;88.750;85.139;85.972;87.222;85.556;85.694;87.222;84.722;87.083;87.222;83.750;85.000;85.972;86.528;86.806
Theta1: 0;Theta2: 0.179519580205
RFC;86.528;85.556;86.250;86.806;84.167;84.167;85.556;84.583;87.361;85.139;85.972;86.667;85.139;84.167;84.306;86.250;84.028;83.611;82.917;84.861;85.278;81.389;82.917;85.694;87.778;87.917;86.806;84.028;87.361;83.056;84.861;86.528;83.056;85.000;85.139;85.972;85.833;84.444;85.833;85.417;83.889;85.278;85.694;84.167;84.583;86.250;84.861;83.750;83.056;87.083;85.417;83.194;81.528;84.306;82.917;82.083;86.944;85.833;85.833;87.639;83.194;86.667;82.917;84.444;84.583;83.333;84.028;83.889;86.111;86.111;87.083;84.444;86.528;86.389;85.000;84.861;87.083;85.417;85.417;83.333;85.417;87.083;85.139;83.889;84.167;86.250;85.972;84.722;82.917;84.306;85.139;84.722;84.722;86.389;85.417;84.028;83.333;84.444;84.028;86.389
KNN;95.833;94.861;94.583;95.694;94.306;93.611;93.472;94.444;95.972;95.972;94.028;93.333;93.611;94.722;95.139;94.583;94.583;94.028;93.194;94.306;94.861;93.194;93.056;94.167;95.417;94.722;95.556;94.861;95.278;93.333;95.556;93.472;94.028;95.972;95.139;95.833;95.556;93.472;93.194;94.722;94.861;93.333;94.444;92.917;95.417;95.139;94.028;92.500;93.750;95.417;93.750;94.583;91.806;93.750;94.306;95.278;95.972;93.194;94.167;94.306;93.889;95.417;93.194;93.750;94.583;92.778;94.028;94.444;95.556;94.722;94.028;93.194;95.694;95.000;93.611;95.694;95.139;95.000;94.583;94.306;94.444;95.278;94.444;93.750;94.167;95.833;94.444;94.306;95.278;94.583;94.167;95.417;95.278;94.444;94.861;92.917;94.444;95.000;94.444;94.444
GNB;85.833;87.778;86.528;85.972;87.361;82.639;86.389;85.556;86.806;88.194;86.944;87.639;85.833;85.139;89.167;88.333;86.667;85.556;86.389;86.528;88.194;83.611;83.056;85.000;87.778;89.167;86.528;84.028;88.472;83.889;83.750;87.083;87.500;86.250;86.250;88.333;84.444;85.278;85.278;85.556;86.528;85.000;88.333;86.667;88.056;89.167;85.833;87.222;87.222;86.389;86.389;85.833;83.750;83.472;86.250;85.278;88.194;87.222;86.250;87.917;85.278;87.917;87.639;85.972;85.694;86.111;84.583;85.972;86.944;86.667;87.361;86.667;87.083;85.417;84.861;86.806;87.222;88.194;85.000;85.556;85.000;87.778;85.417;87.222;86.944;88.194;87.222;85.556;87.222;87.639;87.778;86.389;83.194;87.639;86.667;86.528;87.361;85.972;87.083;86.667
SVM;88.472;85.972;85.139;87.361;87.083;85.278;84.722;85.972;88.056;88.611;85.972;85.000;85.972;84.722;86.944;86.250;85.694;85.278;85.833;86.111;84.722;84.583;85.833;85.833;88.333;86.806;87.222;82.639;86.528;85.139;85.833;86.944;85.417;86.806;85.139;87.639;86.806;82.917;85.556;86.111;83.889;84.722;86.111;85.417;86.806;87.361;85.139;85.556;85.278;86.389;86.667;85.556;82.917;87.222;87.222;85.000;86.250;85.139;85.694;87.083;83.194;87.083;84.167;85.694;84.028;85.139;85.694;86.389;86.389;86.528;86.111;85.972;86.528;87.361;84.861;87.361;88.333;87.361;85.694;86.111;86.111;86.111;86.806;86.250;85.139;89.861;85.972;85.417;86.944;85.278;86.528;86.250;85.000;86.944;88.194;85.139;85.833;85.833;86.667;85.972
Theta1: 0;Theta2: 0.35903916041
