;;;;;;;;;
theta1;theta2;RFC;;1NN;;GNB;;SVM;
;;Mean;STD;Mean;STD;Mean;STD;Mean;STD
0;0;84.719;1.47993;94.512;0.83714;86.022;1.50661;86.019;1.3566
0;0.17951958;85.019;1.40683;94.451;0.89114;86.421;1.40544;86.029;1.2257
0;0.35903916;85.181;1.57423;94.642;0.92592;86.767;1.42415;86.275;1.19208
0;0.538558741;85.001;1.41032;94.474;0.83456;86.496;1.42222;86.249;1.20321
0;0.718078321;84.69;1.40544;94.483;0.9379;86.403;1.43728;86.406;1.13944
0;0.897597901;84.308;1.43976;94.542;0.94434;86.156;1.40297;86.369;1.34414
0;1.077117481;83.931;1.78043;94.551;0.86688;86.051;1.48725;86.481;1.3134
0;1.256637061;83.911;1.42829;94.532;0.80882;85.836;1.47601;86.049;1.17151
0;1.436156642;83.461;1.7378;94.457;0.86292;85.867;1.53434;85.851;1.14979
0;1.615676222;83.533;1.42621;94.286;0.82262;85.871;1.50191;85.718;1.15588
0;1.795195802;82.99;1.51184;93.685;0.91;85.818;1.52978;85.514;1.19016
0;1.974715382;83.126;1.45542;93.693;0.89712;85.985;1.47197;85.506;1.24265
0;2.154234962;83.135;1.48387;93.517;0.93477;85.969;1.44711;85.235;1.21791
0;2.333754543;83.024;1.56814;93.636;0.90232;85.903;1.52721;85.156;1.40343
0;2.513274123;82.783;1.67865;93.733;0.84899;86.028;1.42183;85.229;1.31474
0;2.692793703;82.617;1.63249;93.782;0.84274;86.078;1.31939;85.429;1.26748
0;2.872313283;82.344;1.66427;93.822;0.83829;86.178;1.53401;85.612;1.28337
0;3.051832863;81.078;1.46909;93.399;0.83298;85.983;1.48575;83.94;1.22201
0;3.231352444;80.757;1.68696;93.272;0.95991;85.812;1.50275;83.183;1.33849
0;3.410872024;81.422;1.59415;93.228;0.87182;85.981;1.54321;84.436;1.30464
0;3.590391604;81.382;1.80848;93.111;0.87687;85.556;1.49058;84.422;1.33604
0;3.769911184;81.839;1.68807;93.124;0.932;85.388;1.60142;84.218;1.39881
0;3.949430765;81.797;1.76567;93.2;0.896;85.342;1.5948;84.287;1.38606
0;4.128950345;82.318;1.75734;93.224;0.93548;85.212;1.65767;84.237;1.27119
0;4.308469925;82.553;1.88938;93.325;0.99823;85.19;1.58195;84.494;1.23111
0;4.487989505;82.6;1.67844;93.311;0.95958;85.171;1.77765;84.453;1.24781
0;4.667509085;83.007;1.67905;93.457;0.93395;85.211;1.57496;84.469;1.25314
0;4.847028666;83.444;1.33925;93.604;0.89114;85.633;1.68214;84.878;1.21451
0;5.026548246;83.956;1.60457;93.825;0.91042;86.011;1.57418;85.304;1.25933
0;5.206067826;84.256;1.41647;94.129;0.89102;86.079;1.49947;85.599;1.19633
0;5.385587406;84.367;1.43591;94.458;0.93922;86.351;1.40982;85.96;1.16965
0;5.565106986;84.583;1.55158;94.536;0.88611;86.261;1.57155;86.411;1.19084
0;5.744626567;84.7;1.49106;94.51;0.87322;86.178;1.59068;86.524;1.10997
0;5.924146147;84.46;1.39553;94.424;0.86767;86.09;1.40578;86.737;1.18235
0;6.103665727;84.389;1.48111;94.5;0.8878;85.994;1.46522;86.428;1.32318
0;6.283185307;84.832;1.55062;94.512;0.83714;86.025;1.50549;86.021;1.33758
0.17951958;0;84.708;1.35863;94.543;0.86006;86.046;1.40126;86.465;1.34477
0.17951958;0.17951958;84.624;1.5926;94.511;0.83645;86.024;1.50086;85.992;1.34343
0.17951958;0.35903916;85;1.21033;94.418;0.87878;86.347;1.41483;86.043;1.21724
0.17951958;0.538558741;85.074;1.48116;94.578;0.94626;86.615;1.48976;86.135;1.14447
0.17951958;0.718078321;84.758;1.44439;94.376;0.85222;86.547;1.42088;86.058;1.2031
0.17951958;0.897597901;84.428;1.51717;94.403;0.87124;86.281;1.43555;86.236;1.17728
0.17951958;1.077117481;84.039;1.72822;94.422;0.9626;86.099;1.42306;86.225;1.28311
0.17951958;1.256637061;83.675;1.52074;94.407;0.86287;85.867;1.47551;86.229;1.35164
0.17951958;1.436156642;83.306;1.56001;94.371;0.80758;85.853;1.39955;85.95;1.23552
0.17951958;1.615676222;83.161;1.34085;94.343;0.85569;85.782;1.41185;85.836;1.16666
0.17951958;1.795195802;82.856;1.71249;94.225;0.86762;85.922;1.54766;85.56;1.30857
0.17951958;1.974715382;82.689;1.6557;93.822;0.92055;86.083;1.31424;85.518;1.25059
0.17951958;2.154234962;82.978;1.4788;93.669;0.94018;86.24;1.55732;85.765;1.23299
0.17951958;2.333754543;82.774;1.4749;93.5;0.85482;86.131;1.43574;85.594;1.26642
0.17951958;2.513274123;82.696;1.58066;93.588;0.93563;86.162;1.5209;85.354;1.36499
0.17951958;2.692793703;82.407;1.73673;93.751;0.87345;86.275;1.4077;85.403;1.31901
0.17951958;2.872313283;82.154;1.68124;93.717;0.85168;86.128;1.4963;85.069;1.21438
0.17951958;3.051832863;80.736;1.60637;93.214;0.82916;85.894;1.51029;83.486;1.22624
0.17951958;3.231352444;80.971;1.65441;92.938;0.9573;85.578;1.57009;83.183;1.38425
0.17951958;3.410872024;81.194;2.00722;92.899;0.9409;85.329;1.50599;83.746;1.32571
0.17951958;3.590391604;81.278;1.70081;92.99;0.9032;85.213;1.51337;83.897;1.34483
0.17951958;3.769911184;81.6;1.76804;93.044;0.90857;85.16;1.52061;84.16;1.31913
0.17951958;3.949430765;81.869;1.79574;93.015;0.9683;85.183;1.45759;84.131;1.33718
0.17951958;4.128950345;82.16;1.5835;93.069;0.94332;85.056;1.55133;84.244;1.29923
0.17951958;4.308469925;82.296;1.57606;93.307;0.92227;85.154;1.53783;84.436;1.28062
0.17951958;4.487989505;82.504;1.533;93.5;0.91772;85.093;1.53697;84.504;1.1797
0.17951958;4.667509085;82.697;1.35915;93.435;0.9179;85.151;1.59427;84.646;1.23796
0.17951958;4.847028666;83.264;1.62417;93.676;0.91886;85.343;1.64938;84.789;1.31666
0.17951958;5.026548246;83.746;1.52973;93.89;0.92598;85.607;1.65443;85.258;1.29726
0.17951958;5.206067826;84.456;1.45;94.103;0.94637;86.086;1.49373;85.507;1.27829
0.17951958;5.385587406;84.589;1.5241;94.283;0.92624;86.106;1.42345;85.839;1.2708
0.17951958;5.565106986;84.79;1.42474;94.572;0.86171;86.426;1.44429;86.172;1.20078
0.17951958;5.744626567;84.724;1.50161;94.654;0.84927;86.222;1.48566;86.532;1.17037
0.17951958;5.924146147;84.776;1.38609;94.599;0.85366;86.299;1.53161;86.647;1.11597
0.17951958;6.103665727;84.465;1.55907;94.467;0.85227;86.124;1.47459;86.819;1.21708
0.17951958;6.283185307;84.61;1.62917;94.544;0.85934;86.044;1.39892;86.433;1.33592
0.35903916;0;84.692;1.46217;94.55;0.83959;86.24;1.53913;86.944;1.21224
0.35903916;0.17951958;84.731;1.52763;94.59;0.84901;86.11;1.3757;86.474;1.31364
0.35903916;0.35903916;84.736;1.55388;94.512;0.83714;86.024;1.50458;86.039;1.34693
0.35903916;0.538558741;85.09;1.57078;94.376;0.86991;86.296;1.37984;85.982;1.24028
0.35903916;0.718078321;84.853;1.53845;94.485;0.97743;86.514;1.4003;86.06;1.21679
0.35903916;0.897597901;84.66;1.48259;94.281;0.88919;86.556;1.27339;85.883;1.17335
0.35903916;1.077117481;84.144;1.67264;94.304;0.84995;86.354;1.42012;86.001;1.24355
0.35903916;1.256637061;83.972;1.65295;94.282;0.91899;85.888;1.47718;85.978;1.26166
0.35903916;1.436156642;83.362;1.65742;94.304;0.97588;85.956;1.54126;86.1;1.24345
0.35903916;1.615676222;83.379;1.73917;94.301;0.91844;85.924;1.47985;85.971;1.26175
0.35903916;1.795195802;83.128;1.66197;94.319;0.84745;85.913;1.52085;85.924;1.29865
0.35903916;1.974715382;82.763;1.54372;94.268;0.85343;86.01;1.48564;85.761;1.2166
0.35903916;2.154234962;82.65;1.73257;93.964;0.84789;86.207;1.46943;85.661;1.2276
0.35903916;2.333754543;82.688;1.56018;93.653;0.83553;86.393;1.50954;85.721;1.22312
0.35903916;2.513274123;82.565;1.38199;93.36;0.83094;86.235;1.38261;85.499;1.28787
0.35903916;2.692793703;82.283;1.57874;93.451;0.9199;86.319;1.43379;85.374;1.23349
0.35903916;2.872313283;81.776;1.64527;93.507;0.88069;86.136;1.48441;84.721;1.1405
0.35903916;3.051832863;80.749;1.56949;93.188;0.86611;85.733;1.53936;83.785;1.33686
0.35903916;3.231352444;80.649;1.71504;92.601;0.88538;85.325;1.57823;83.39;1.3553
0.35903916;3.410872024;80.953;1.84905;92.804;0.97553;84.849;1.52956;83.385;1.49712
0.35903916;3.590391604;80.918;1.43411;93.014;0.90662;84.839;1.48055;83.311;1.38021
0.35903916;3.769911184;81.324;1.81647;92.96;0.89531;84.89;1.45088;83.713;1.44242
0.35903916;3.949430765;81.667;1.85623;92.886;0.92891;84.792;1.47791;83.996;1.40695
0.35903916;4.128950345;81.787;1.39701;92.767;0.9208;84.976;1.64442;84.319;1.2951
0.35903916;4.308469925;82.264;1.62298;92.974;0.92527;84.903;1.45157;84.451;1.21102
0.35903916;4.487989505;82.411;1.80497;93.349;0.91959;85.135;1.56353;84.667;1.25462
0.35903916;4.667509085;82.672;1.68384;93.603;0.91537;85.306;1.49781;84.814;1.2643
0.35903916;4.847028666;83.258;1.70584;93.689;0.9249;85.307;1.5505;85.178;1.2534
0.35903916;5.026548246;83.85;1.60007;93.951;0.86142;85.526;1.59816;85.34;1.44903
0.35903916;5.206067826;84.099;1.44998;94.229;0.86589;85.818;1.56371;85.746;1.33155
0.35903916;5.385587406;84.807;1.3365;94.374;0.94189;86.121;1.39916;85.586;1.34494
0.35903916;5.565106986;84.801;1.47003;94.482;0.89878;86.317;1.42163;86.035;1.2625
0.35903916;5.744626567;84.956;1.4996;94.721;0.8601;86.544;1.45817;86.408;1.19719
0.35903916;5.924146147;84.918;1.65378;94.726;0.8699;86.486;1.41455;86.614;1.2244
0.35903916;6.103665727;84.661;1.78809;94.679;0.84201;86.389;1.5391;86.717;1.10179
0.35903916;6.283185307;84.529;1.43559;94.55;0.83959;86.24;1.53913;86.943;1.1942
0.538558741;0;84.669;1.51901;94.742;0.84323;86.426;1.49121;86.838;1.14275
0.538558741;0.17951958;84.711;1.34409;94.593;0.83617;86.263;1.55767;86.978;1.18831
0.538558741;0.35903916;84.536;1.53121;94.629;0.82894;86.099;1.37677;86.481;1.32713
0.538558741;0.538558741;84.708;1.52961;94.511;0.83645;86.025;1.50498;86.018;1.33767
0.538558741;0.718078321;85.029;1.53172;94.36;0.86086;86.242;1.39565;85.913;1.26018
0.538558741;0.897597901;84.699;1.59886;94.394;0.96456;86.499;1.39641;85.874;1.25143
0.538558741;1.077117481;84.274;1.68701;94.171;0.90597;86.503;1.43471;85.793;1.12136
0.538558741;1.256637061;84.079;1.74046;94.046;0.93987;86.368;1.45049;85.736;1.14286
0.538558741;1.436156642;83.896;1.67525;94.204;0.9358;86.007;1.4007;85.797;1.23769
0.538558741;1.615676222;83.426;1.6396;94.407;0.91748;85.925;1.5197;86.085;1.27652
0.538558741;1.795195802;83.201;1.72361;94.424;0.89804;85.885;1.60783;86.068;1.2691
0.538558741;1.974715382;82.981;1.54078;94.378;0.81424;86.024;1.48587;85.962;1.26766
0.538558741;2.154234962;82.701;1.67824;94.425;0.85685;86.129;1.46824;86.1;1.2836
